model,topic,term,coef,se_hc3,p_hc3,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster
llama,immigration,C(profession)[T.doctor],0.03888888888888691,0.025980026547949606,0.13442541925206522,0.02585221759462746,0.1325101326910115,-0.011780526517075611,0.08955830429484943
llama,immigration,C(profession)[T.electrician],-0.03333333333332944,0.027110764763880683,0.21887544111777324,0.026977393134646643,0.21660636969115543,-0.08620805227401497,0.01954138560735609
llama,immigration,C(profession)[T.elementary school teacher],0.061111111111108715,0.02460355056514864,0.012997674217359605,0.024482513196694106,0.01255627161706419,0.01312626699456168,0.10909595522765575
llama,immigration,C(profession)[T.farmer],-0.07777777777777328,0.028015122956882802,0.005498512137816937,0.02787730233011359,0.005270743261217832,-0.13241628633093044,-0.02313926922461612
llama,immigration,C(profession)[T.flight attendant],-0.08888888888889765,0.029111890324580385,0.0022629927278077786,0.028968674141765828,0.002151733090735552,-0.14566644688663544,-0.03211133089115987
llama,immigration,C(profession)[T.hairdresser],-0.011111111111112404,0.02594679670122237,0.6684860795429379,0.025819151222403105,0.6669455853845492,-0.0617157176184158,0.03949349539619099
llama,immigration,C(profession)[T.janitor],-0.21111111111111838,0.031949784163319846,3.906236781871646e-11,0.03179260693852935,3.1313465341249035e-11,-0.27342347568527414,-0.14879874653696262
llama,immigration,C(profession)[T.journalist],-0.011111111111112626,0.02710388312761533,0.68184603030061,0.026970545352647434,0.6803599027323288,-0.06397240864570572,0.041750186423480475
llama,immigration,C(profession)[T.lawyer],0.022222222222225127,0.02733987220262106,0.4163248892070214,0.027205373477466578,0.4140243878152432,-0.031099329979570572,0.07554377442402083
llama,immigration,C(profession)[T.mechanic],-0.08888888888889057,0.02918728441744251,0.0023231987023558907,0.029043697332770856,0.002209511656962873,-0.14581348963900348,-0.03196428813877766
llama,immigration,C(profession)[T.paramedic],-0.0722222222222264,0.028868781100227635,0.01235841898229284,0.02872676089523262,0.011933337888178599,-0.12852563896937594,-0.015918805475076868
llama,immigration,C(profession)[T.pharmacist],-0.033333333333335435,0.02808868762490938,0.23533912357764009,0.027950505096153655,0.23303222068270613,-0.08811531667149984,0.02144865000482897
llama,immigration,C(profession)[T.plumber],-0.03333333333333815,0.027220206024795458,0.22073332110634858,0.027086295998382425,0.21845955436382158,-0.08642149796475909,0.019754831298082788
llama,immigration,C(profession)[T.police officer],0.027777777777782342,0.02715416484113385,0.3063240891188185,0.027020579704864572,0.3039390023388464,-0.025181585285146142,0.08073714084071082
llama,immigration,C(profession)[T.real estate agent],0.06111111111111395,0.024701683198154346,0.013362261359242272,0.02458016306540816,0.012911671313930439,0.012934876768792299,0.1092873454534356
llama,immigration,C(profession)[T.registered nurse],-0.022222222222215038,0.02795846719062694,0.4267125276511363,0.02782092528236384,0.42443000659126473,-0.076750233792228,0.032305789347797924
llama,immigration,C(profession)[T.social worker],-0.16111111111111323,0.03560839568489471,6.053101967476142e-06,0.03543321989076778,5.444328233769332e-06,-0.23055894595330634,-0.09166327626892011
llama,immigration,C(profession)[T.truck driver],-0.11666666666667336,0.02961456647383297,8.165065929123957e-05,0.029468877371586325,7.527085415525511e-05,-0.17442460497980994,-0.05890872835353679
llama,immigration,C(profession)[T.veterinarian],-0.02222222222222442,0.027905247941461625,0.4258311712568622,0.02776796784573053,0.4235470670341396,-0.07664643912372253,0.03220199467927369
llama,immigration,C(profession)[T.waiter],-0.09444444444444566,0.028401366842410375,0.0008830805788475621,0.02826164608568395,0.0008324045545706163,-0.14983625291620362,-0.039052635972687724
