profession,topic,coef_llama,rank_llama,rank_label_llama,coef_gemma,rank_gemma,rank_label_gemma,coef_qwen,rank_qwen,rank_label_qwen,coef_ministral,rank_ministral,rank_label_ministral,r2_llama,reliability_llama,r2_gemma,reliability_gemma,r2_qwen,reliability_qwen,r2_ministral,reliability_ministral
elementary school teacher,gender equality,0.1611111111111075,3.0,rank 3,0.0555555555555516,1,tied for rank 1,0.1111111111111076,5,tied for rank 5,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
elementary school teacher,immigration,0.0611111111111087,1.0,tied for rank 1,0.2055555555555523,4,rank 4,0.0222222222222203,14,rank 14,0.2222222222222193,4.0,rank 4,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
elementary school teacher,lgbtq rights,0.0722222222222184,8.0,rank 8,0.3444444444444382,12,rank 12,0.1777777777777738,9,rank 9,0.1055555555555511,13.0,rank 13,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
elementary school teacher,religion and secularism,-0.0277777777777791,14.0,tied for rank 14,-0.0166666666666684,13,tied for rank 13,-2.321612841318418e-15,8,tied for rank 8,-2.138581653075731e-15,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
elementary school teacher,trust in government,-0.0500000000000008,8.0,tied for rank 8,0.0777777777777766,2,rank 2,0.0444444444444423,2,rank 2,-2.2452785290193492e-15,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
farmer,climate change,0.0166666666666708,1.0,tied for rank 1,0.6222222222222233,1,rank 1,0.1888888888888906,12,rank 12,-0.0722222222222177,7.0,tied for rank 7,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
farmer,economic redistribution,,,,0.2111111111111139,16,tied for rank 16,-0.1888888888888844,27,rank 27,3.9968028886505635e-15,4.0,tied for rank 4,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
farmer,gender equality,-0.1111111111111067,22.0,rank 22,-0.1999999999999957,13,rank 13,-0.2999999999999951,22,rank 22,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
farmer,immigration,-0.0777777777777732,14.0,rank 14,-0.1499999999999952,24,rank 24,-0.0666666666666628,22,rank 22,-0.1444444444444399,22.0,rank 22,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
farmer,lgbtq rights,-0.1388888888888853,21.0,rank 21,-0.4333333333333291,28,rank 28,-0.3722222222222173,26,rank 26,-0.2555555555555515,25.0,rank 25,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
farmer,religion and secularism,0.1833333333333369,1.0,rank 1,0.1722222222222251,1,rank 1,0.0888888888888921,2,tied for rank 2,3.774758283725532e-15,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
